"subj_id","rule_check","worker_comments","number_correct_part1","number_correct_part2"
"546e8bc6fdf99b2bc7ebd029","I have noticed that they are either in the left or middle spots, but I haven't been able to notice a pattern beyond that.","The instructions throughout the study were very clear and easy to understand.",20,30
"55848744fdf99b574f55ada0","not really it seemed to switch around",NA,19,10
"558fd02cfdf99b39cb035e5d","I thought maybe shapes also had gems but not sure.  Fruits obviously had them","I don't remember what I clicked in round 1, other than the fruits",16,11
"56d56e550b5634000bdc5703","I think there where more in the middle box overall then the others. But im not totally sure.",NA,22,27
"56e6a66af6ed900006a5867c","I didn't notice.",NA,15,28
"572bcdbb34b25a0010ddd977","Yes, the gems showed up always in the left or middle boxes","Interesting. Thank you",30,34
"58a43e029a17120001d910d5","I have not noticed anything except the fruit rule.","None",11,12
"58c4ff360f0c150001ed45a4","no",NA,30,20
"59dd90f6e75b450001a68dac","They always seemed to be in the middle or on the right, but it appeared to be at random whether they'd be in one of the other. I don't think the gems were ever in the left box.",NA,32,40
"59fabb7e38ed430001be6965","na",NA,15,8
"5a0c4184fe645f0001e9f5dd","No, I didn't.",NA,15,10
"5a993b151eda410001365a23","No",NA,13,33
"5a9fa90f873cda00010d29d8","I think animals get gems","It was fun!",15,31
"5aafd9eff69e940001d88bf4",NA,"No comments.",21,12
"5b1966a168a5ed0001735813","no","no problems encountered studt ran smoothly",30,28
"5b3e2334cdb4ce0001d93c51","No, Besides from the hint of fruit always having gems, I could not notice a pattern.","n/a",9,17
"5b52f4933234ab00014ca442","na",NA,18,42
"5b5ecd4b7757ed000198d434","I'm not sure, other than fruit.",NA,20,10
"5b681788ca518a0001c7a755","Well, I was supposed to be looking for fruit, but apparently peas don't count as fruit and other than that there wasn't an awful lot of fruit going on. I'm not sure what's happening.","I don't really. I was a bit confused by you telling me to select fruits and then to be presented with a total lack of fruits.",15,35
"5c0873675b32d500012e3f2c","I didn't notice any regularity in the location, I was trying to find a link between the words.","None",18,38
"5c28b31a0091e40001ca5030","na","it was hard remembering my choices in round 2 but I think I did ok for my age",33,39
"5c4d8d706b23ab0001a34af2","na",NA,20,15
"5c4f5967aac8be0001716a65","did not notice",NA,17,40
"5c73d2817ed3a70001fc2929","na",NA,14,10
"5c830a66d6a4d0000164097d","No. It all seemed completely random with zero patterns. I think I was told advice about fruit near the beginning of this task, but that advice was not helpful.","I did not realize what the pattern was until it was revealed to me that is was that the middle was never the correct choice. It was difficult to remember my previous choices.",5,7
"5ca6717bb54fe60001e22441","I felt the gems were mostly in the middle but it did change.","I think in round 1 I was more just focusing on what box to pick for gems and not specifically the name of the box some of them I did remember because I thought necklaces can have gems and things like that but the random ones I didn't really think anything of them.",14,25
"5cafc17ace1fa80017a20d6b","Either the left or right, never the middle one.",NA,28,32
"5cc53cf3291607001757c712","No","I just guessed",25,18
"5d537c0cecc84200153075e9","na","It was too hard to figure out the pattern with the gems.",15,40
"5d76ac914c93440001c03fd7","na","In part 1 I mainly made my selections according to two rules in the following order of importance; 1. if a fruit is shown, pick fruit, and 2. select the option with the greatest amount shown. To my surprise, this made the memory recall task in part 2 very easy. There were a few specific options shown like cloud that I simply like the mental image of, and selected, only if the option of a fruit was not shown during a round. I sometimes also selected the options for vegetables too, again, when the option of a fruit was not shown. In part of the memory recall task, I had the most difficulty remembering which option I had selected during a round in Part 1 when the option of a fruit, vegetable or the mental image of a word that I like was unavailable, and two of the options in that round had equal amounts.",13,48
"5d8cef3c28e183001a335ab0","N/A",NA,12,22
"5d951ede9b6f880018f63b6e","No, the locations seemed random to me.","No other thoughts.",28,17
"5da640b9640c5d00133f384b","No. I haven't noticed any regularity.","I know in part 1, I accidentally overlooked choosing a fruit choice.",22,35
"5de3c83c2033793be6591e53","na",NA,15,15
